2023-11-11 15:27:36 - PHP Unknown:  Creation of dynamic property Tax::$config is deprecated in C:\xampp\htdocs\shoplong\system\library\tax.php on line 6
2023-11-11 15:27:36 - PHP Unknown:  Creation of dynamic property Tax::$db is deprecated in C:\xampp\htdocs\shoplong\system\library\tax.php on line 7
2023-11-11 15:27:36 - PHP Unknown:  Creation of dynamic property Tax::$session is deprecated in C:\xampp\htdocs\shoplong\system\library\tax.php on line 8
2023-11-11 15:27:36 - PHP Unknown:  Creation of dynamic property Weight::$db is deprecated in C:\xampp\htdocs\shoplong\system\library\weight.php on line 6
2023-11-11 15:27:36 - PHP Unknown:  Creation of dynamic property Weight::$config is deprecated in C:\xampp\htdocs\shoplong\system\library\weight.php on line 7
2023-11-11 15:27:36 - PHP Unknown:  Creation of dynamic property Length::$db is deprecated in C:\xampp\htdocs\shoplong\system\library\length.php on line 6
2023-11-11 15:27:36 - PHP Unknown:  Creation of dynamic property Length::$config is deprecated in C:\xampp\htdocs\shoplong\system\library\length.php on line 7
2023-11-11 15:27:36 - PHP Unknown:  Creation of dynamic property Cart::$customer is deprecated in C:\xampp\htdocs\shoplong\system\library\cart.php on line 9
2023-11-11 15:27:36 - PHP Unknown:  Creation of dynamic property Cart::$session is deprecated in C:\xampp\htdocs\shoplong\system\library\cart.php on line 10
2023-11-11 15:27:36 - PHP Unknown:  Creation of dynamic property Cart::$tax is deprecated in C:\xampp\htdocs\shoplong\system\library\cart.php on line 12
2023-11-11 15:27:36 - PHP Unknown:  Creation of dynamic property Cart::$weight is deprecated in C:\xampp\htdocs\shoplong\system\library\cart.php on line 13
2023-11-11 15:27:36 - PHP Unknown:  Creation of dynamic property Openbay::$logger is deprecated in C:\xampp\htdocs\shoplong\system\library\openbay.php on line 17
2023-11-11 15:27:36 - PHP Unknown:  Creation of dynamic property Event::$registry is deprecated in C:\xampp\htdocs\shoplong\system\engine\event.php on line 6
2023-11-11 16:01:59 - PHP Unknown:  Creation of dynamic property Request::$request is deprecated in C:\xampp\htdocs\shoplong\system\library\request.php on line 12
2023-11-11 16:01:59 - PHP Unknown:  Creation of dynamic property Customer::$config is deprecated in C:\xampp\htdocs\shoplong\system\library\customer.php on line 14
2023-11-11 16:01:59 - PHP Unknown:  Creation of dynamic property Customer::$db is deprecated in C:\xampp\htdocs\shoplong\system\library\customer.php on line 15
2023-11-11 16:01:59 - PHP Unknown:  Creation of dynamic property Customer::$request is deprecated in C:\xampp\htdocs\shoplong\system\library\customer.php on line 16
2023-11-11 16:01:59 - PHP Unknown:  Creation of dynamic property Customer::$session is deprecated in C:\xampp\htdocs\shoplong\system\library\customer.php on line 17
2023-11-11 16:01:59 - PHP Unknown:  Creation of dynamic property Affiliate::$config is deprecated in C:\xampp\htdocs\shoplong\system\library\affiliate.php on line 12
